product_id,product_name,certification_level,agency,sponsor,authorization_date,impact_level,description,link
oracle-product-1,Oracle Product 1,FedRAMP In Progress,HHS,CIO,2019-11-04,High,Cloud security solution,https://example.com/oracle-product-1
oracle-product-2,Oracle Product 2,FedRAMP In Progress,VA,DISA,2024-02-22,Moderate,Zero Trust gateway,https://example.com/oracle-product-2
oracle-product-3,Oracle Product 3,FedRAMP Ready,DOE,CloudOps,2021-06-14,Moderate,Audit & compliance tool,https://example.com/oracle-product-3
oracle-product-4,Oracle Product 4,FedRAMP Authorized,DoD,CyberSec,2023-03-25,Moderate,Audit & compliance tool,https://example.com/oracle-product-4
oracle-product-5,Oracle Product 5,FedRAMP Authorized,DHS,CIO,2025-04-22,High,Secure identity management,https://example.com/oracle-product-5
oracle-product-6,Oracle Product 6,FedRAMP Authorized,GSA,DISA,2019-11-27,Low,Network visibility platform,https://example.com/oracle-product-6
oracle-product-7,Oracle Product 7,FedRAMP Authorized,VA,CyberSec,2023-09-13,High,Zero Trust gateway,https://example.com/oracle-product-7
oracle-product-8,Oracle Product 8,FedRAMP Authorized,DoD,DISA,2022-02-20,Moderate,Network visibility platform,https://example.com/oracle-product-8
oracle-product-9,Oracle Product 9,FedRAMP Authorized,DoD,CloudOps,2023-04-24,Moderate,Unified endpoint platform,https://example.com/oracle-product-9
oracle-product-10,Oracle Product 10,FedRAMP In Progress,DoD,CloudOps,2020-08-17,High,Zero Trust gateway,https://example.com/oracle-product-10
oracle-product-11,Oracle Product 11,FedRAMP In Progress,HHS,DISA,2024-09-16,Moderate,Unified endpoint platform,https://example.com/oracle-product-11
oracle-product-12,Oracle Product 12,FedRAMP Authorized,DoD,CloudOps,2020-05-12,High,Cloud security solution,https://example.com/oracle-product-12
oracle-product-13,Oracle Product 13,FedRAMP Ready,DHS,CloudOps,2024-04-17,High,Audit & compliance tool,https://example.com/oracle-product-13
oracle-product-14,Oracle Product 14,FedRAMP In Progress,DHS,DISA,2021-08-20,Moderate,Network visibility platform,https://example.com/oracle-product-14
oracle-product-15,Oracle Product 15,FedRAMP Ready,HHS,DISA,2022-05-31,High,Audit & compliance tool,https://example.com/oracle-product-15
