product_id,product_name,certification_level,agency,sponsor,authorization_date,impact_level,description,link
aws-product-1,Aws Product 1,FedRAMP Authorized,DHS,CIO,2021-09-18,Low,Cloud security solution,https://example.com/aws-product-1
aws-product-2,Aws Product 2,FedRAMP Ready,DoD,DISA,2021-09-25,High,Cloud security solution,https://example.com/aws-product-2
aws-product-3,Aws Product 3,FedRAMP Authorized,HHS,DISA,2024-04-24,Moderate,Audit & compliance tool,https://example.com/aws-product-3
aws-product-4,Aws Product 4,FedRAMP In Progress,DHS,ITOps,2025-01-11,High,Secure identity management,https://example.com/aws-product-4
aws-product-5,Aws Product 5,FedRAMP Authorized,VA,ITOps,2020-04-17,High,Audit & compliance tool,https://example.com/aws-product-5
aws-product-6,Aws Product 6,FedRAMP Ready,DOE,CIO,2020-02-09,Low,Cloud security solution,https://example.com/aws-product-6
aws-product-7,Aws Product 7,FedRAMP In Progress,DoD,CIO,2023-12-01,High,Unified endpoint platform,https://example.com/aws-product-7
aws-product-8,Aws Product 8,FedRAMP Authorized,DHS,DISA,2022-02-23,Moderate,Network visibility platform,https://example.com/aws-product-8
aws-product-9,Aws Product 9,FedRAMP Authorized,HHS,ITOps,2023-08-11,Low,Secure identity management,https://example.com/aws-product-9
aws-product-10,Aws Product 10,FedRAMP In Progress,VA,DISA,2020-06-06,Low,Unified endpoint platform,https://example.com/aws-product-10
aws-product-11,Aws Product 11,FedRAMP Ready,HHS,CyberSec,2024-05-21,Low,Audit & compliance tool,https://example.com/aws-product-11
aws-product-12,Aws Product 12,FedRAMP Ready,GSA,CloudOps,2024-08-09,Low,Cloud security solution,https://example.com/aws-product-12
aws-product-13,Aws Product 13,FedRAMP Ready,NASA,CIO,2023-01-13,Low,Cloud security solution,https://example.com/aws-product-13
aws-product-14,Aws Product 14,FedRAMP In Progress,DOE,CIO,2022-02-24,Moderate,Network visibility platform,https://example.com/aws-product-14
aws-product-15,Aws Product 15,FedRAMP In Progress,NASA,CIO,2023-07-22,Low,Network visibility platform,https://example.com/aws-product-15
