product_id,product_name,certification_level,agency,sponsor,authorization_date,impact_level,description,link
microsoft-product-1,Microsoft Product 1,FedRAMP Ready,GSA,ITOps,2020-09-23,High,Zero Trust gateway,https://example.com/microsoft-product-1
microsoft-product-2,Microsoft Product 2,FedRAMP Ready,DOE,DISA,2024-01-31,Low,Zero Trust gateway,https://example.com/microsoft-product-2
microsoft-product-3,Microsoft Product 3,FedRAMP Ready,DOE,ITOps,2020-09-24,Moderate,Unified endpoint platform,https://example.com/microsoft-product-3
microsoft-product-4,Microsoft Product 4,FedRAMP In Progress,DoD,CloudOps,2020-02-02,High,Audit & compliance tool,https://example.com/microsoft-product-4
microsoft-product-5,Microsoft Product 5,FedRAMP Authorized,DHS,CIO,2022-09-08,High,Unified endpoint platform,https://example.com/microsoft-product-5
microsoft-product-6,Microsoft Product 6,FedRAMP Ready,DHS,CloudOps,2020-01-27,Moderate,Zero Trust gateway,https://example.com/microsoft-product-6
microsoft-product-7,Microsoft Product 7,FedRAMP Ready,DOE,CloudOps,2022-12-15,Moderate,Secure identity management,https://example.com/microsoft-product-7
microsoft-product-8,Microsoft Product 8,FedRAMP Authorized,DHS,DISA,2024-03-13,Moderate,Cloud security solution,https://example.com/microsoft-product-8
microsoft-product-9,Microsoft Product 9,FedRAMP Authorized,HHS,CIO,2022-09-05,Low,Network visibility platform,https://example.com/microsoft-product-9
microsoft-product-10,Microsoft Product 10,FedRAMP Authorized,DoD,CIO,2020-10-03,Moderate,Unified endpoint platform,https://example.com/microsoft-product-10
microsoft-product-11,Microsoft Product 11,FedRAMP Ready,GSA,CyberSec,2024-04-27,High,Zero Trust gateway,https://example.com/microsoft-product-11
microsoft-product-12,Microsoft Product 12,FedRAMP Ready,VA,CloudOps,2021-04-11,High,Audit & compliance tool,https://example.com/microsoft-product-12
microsoft-product-13,Microsoft Product 13,FedRAMP In Progress,FAA,CyberSec,2025-03-12,Moderate,Zero Trust gateway,https://example.com/microsoft-product-13
microsoft-product-14,Microsoft Product 14,FedRAMP Authorized,DHS,CloudOps,2023-01-28,High,Network visibility platform,https://example.com/microsoft-product-14
microsoft-product-15,Microsoft Product 15,FedRAMP Authorized,FAA,CIO,2024-11-11,High,Zero Trust gateway,https://example.com/microsoft-product-15
